# Constructed from biom file
#OTU ID	PUF-BOU-8	ctrl-PCR-neg-PUF	PUF-BOT-5	PUF-BOT-1	PUF-IPEX-5	PUF-MBO-7	PUF-BOU-2	PUF-JD-7	PUF-BOT-4	Mont-Tremblant	PUF-BOU-3	PUF-BOT-9	PUF-MBO-9	PUF-BOT-7	PUF-IPEX-9	C-pos-1	PUF-JD-1	PUF-BOT-6	PUF-BOU-4	PUF-IPEX-6	PUF-IPEX-7	PUF-JD-5	PUF-BOT-2	PUF-MBO-1	PUF-BOU-5	PUF-BOU-6	PUF-BOU-1	PUF-BOT-8	C-pos-2	PUF-JD-9	PUF-MBO-8	PUF-MBO-2	PUF-MBO-6	Negative-PUF	PUF-MBO-3	PUF-MBO-10	PUF-MBO-5	Ins-Top	PUF-IPEX-2	PUF-JD-3	PUF-BOU-9	PUF-JD-2	PUF-IPEX-4	PUF-IPEX-10	Ins-Door	Ins-Cocoon	PUF-JD-8	PUF-JD-6
0c11abb10ca8c4ca6a9466f89d510f2e	2573.0	0.0	982.0	1.0	5698.0	1708.0	29.0	3481.0	833.0	68.0	176.0	1747.0	2822.0	3089.0	1483.0	0.0	77.0	1272.0	415.0	1210.0	1620.0	929.0	200.0	189.0	2747.0	840.0	0.0	855.0	0.0	1063.0	1898.0	80.0	872.0	0.0	478.0	1255.0	570.0	0.0	146.0	256.0	1988.0	4.0	1314.0	3896.0	0.0	0.0	141.0	5478.0
589974931988706a852f1bb2c5aa12dc	1544.0	0.0	234.0	0.0	2959.0	1687.0	0.0	376.0	0.0	0.0	0.0	94.0	534.0	436.0	4233.0	0.0	0.0	163.0	39.0	5167.0	837.0	99.0	0.0	0.0	365.0	198.0	0.0	427.0	0.0	130.0	2399.0	33.0	2613.0	0.0	146.0	546.0	1931.0	0.0	0.0	0.0	2096.0	0.0	291.0	2076.0	0.0	0.0	1.0	159.0
f7718bbdbd503a21d2692b3b333490cb	1425.0	0.0	0.0	0.0	287.0	900.0	0.0	366.0	0.0	0.0	0.0	133.0	1733.0	174.0	2695.0	0.0	0.0	158.0	0.0	941.0	139.0	81.0	0.0	0.0	147.0	190.0	0.0	133.0	0.0	52.0	2122.0	0.0	1136.0	0.0	0.0	725.0	588.0	0.0	0.0	20.0	3201.0	0.0	46.0	2029.0	0.0	0.0	34.0	189.0
eec2170a8f2d0cd7dc3a18841a1ea5c7	1397.0	0.0	185.0	0.0	2560.0	2809.0	496.0	330.0	384.0	0.0	363.0	137.0	4103.0	683.0	2268.0	0.0	0.0	148.0	998.0	2400.0	882.0	225.0	0.0	42.0	2262.0	616.0	0.0	181.0	0.0	38.0	1867.0	196.0	2722.0	0.0	7631.0	764.0	4038.0	0.0	145.0	257.0	649.0	24.0	884.0	655.0	0.0	0.0	10.0	252.0
afb94828a83235f617d67b54fe89fe79	1299.0	0.0	11.0	6.0	2.0	6.0	19.0	103.0	0.0	0.0	0.0	270.0	720.0	516.0	2182.0	0.0	5.0	6.0	0.0	4.0	39.0	0.0	142.0	0.0	0.0	0.0	6.0	419.0	0.0	249.0	1368.0	1.0	8.0	0.0	6.0	371.0	0.0	0.0	13.0	3.0	1085.0	4.0	0.0	1267.0	0.0	0.0	95.0	0.0
b43d19c6734061aba20cde4334b0c772	1113.0	0.0	1111.0	737.0	2928.0	1447.0	996.0	1253.0	1342.0	0.0	1313.0	528.0	357.0	1719.0	352.0	0.0	168.0	562.0	1484.0	840.0	655.0	714.0	805.0	599.0	2537.0	661.0	39.0	593.0	0.0	1280.0	969.0	711.0	402.0	0.0	4215.0	868.0	824.0	0.0	1029.0	1612.0	489.0	214.0	4137.0	1386.0	0.0	0.0	28.0	1978.0
bec08d51eb66022d7172c03768d5fd5d	1004.0	0.0	155.0	41.0	494.0	486.0	15.0	2004.0	1205.0	0.0	0.0	664.0	2242.0	860.0	754.0	0.0	0.0	305.0	42.0	245.0	369.0	310.0	0.0	0.0	2457.0	202.0	0.0	644.0	0.0	532.0	849.0	20.0	263.0	0.0	195.0	827.0	173.0	0.0	20.0	104.0	1041.0	14.0	384.0	2166.0	0.0	0.0	79.0	1625.0
0d1a483ebd4773116542454b0cc1a266	909.0	0.0	0.0	0.0	219.0	721.0	257.0	51.0	0.0	0.0	242.0	82.0	380.0	0.0	646.0	0.0	0.0	0.0	85.0	100.0	401.0	0.0	0.0	212.0	158.0	246.0	0.0	33.0	0.0	0.0	1403.0	49.0	221.0	0.0	286.0	284.0	371.0	0.0	109.0	38.0	638.0	0.0	299.0	844.0	0.0	0.0	0.0	1.0
a4ce6cfe96b9ce0ad304803934790435	385.0	0.0	0.0	0.0	0.0	378.0	0.0	0.0	0.0	0.0	21.0	0.0	772.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	29.0	0.0	0.0	980.0	0.0	792.0	0.0	0.0	261.0	31.0	0.0	0.0	0.0	1688.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
42a334b44b84641c69386150c7cde441	306.0	0.0	131.0	23.0	559.0	244.0	85.0	55.0	39.0	0.0	203.0	117.0	95.0	131.0	866.0	0.0	0.0	0.0	158.0	652.0	707.0	0.0	0.0	0.0	1071.0	439.0	12.0	0.0	0.0	66.0	199.0	0.0	96.0	0.0	80.0	130.0	147.0	0.0	0.0	10.0	233.0	0.0	436.0	430.0	0.0	0.0	1.0	73.0
