ID,ID_order,ID_R,site,from,to,Type,Library,comments
CTRL.neg.extraction.PUF,CTRL.neg.extraction.PUF,CTRL.neg.extraction.PUF,NA,NA,NA,C-,Pt1,
ctrl.PCR.neg.PUF,ctrl.PCR.neg.PUF,ctrl.PCR.neg.PUF,NA,NA,NA,C-,Pt1,
CTRL.neg.extraction.PUF_2,CTRL.neg.extraction.PUF_2,Negative.PUF,NA,NA,NA,C-,Pt2,
ctrl.PCR.neg.PUF_2,ctrl.PCR.neg.PUF_2,ctrl.PCR.neg.PUF,NA,NA,NA,C-,Pt2,
Insectarium_Door,Insectarium_Door,Ins.Door,Insectarium,10/11/2025,24/11/2025,Sample,Pt2,
Insectarium_Cocoon,Insectarium_Cocoon,Ins.Cocoon,Insectarium,10/11/2025,24/11/2025,Sample,Pt2,
Insectarium_Up,Insectarium_Up,Ins.Top,Insectarium,10/11/2025,24/11/2025,Sample,Pt2,
C+1,C+1,C.pos.1,NA,18/11/2025,18/11/2025,C+,Pt2,
C+2,C+2,C.pos.2,NA,18/11/2025,18/11/2025,C+,Pt2,
Mont_Tremblant,Mont_Tremblant,Mont.Tremblant,Mont_Tremblant,30/08/2025,31/08/2025,Sample,Pt2,
PUF_IPEX_1,PUF_IPEX_01,PUF.IPEX.1,IPEX,15/05/2024,29/05/2024,Sample,Pt1,
PUF_BOT_1,PUF_BOT_01,PUF.BOT.1,Botanical Garden,17/05/2024,31/05/2024,Sample,Pt2,
PUF_MBO_1,PUF_MBO_01,PUF.MBO.1,Bird Observatory,20/05/2024,03/06/2024,Sample,Pt2,
PUF_JD_1,PUF_JD_01,PUF.JD.1,Jean-Drapeau,22/05/2024,05/06/2024,Sample,Pt2,
PUF_BOU_1,PUF_BOU_01,PUF.BOU.1,Boucherville,27/05/2024,10/06/2024,Sample,Pt2,
PUF_IPEX_2,PUF_IPEX_02,PUF.IPEX.2,IPEX,29/05/2024,12/06/2024,Sample,Pt2,
PUF_BOT_2,PUF_BOT_02,PUF.BOT.2,Botanical Garden,31/05/2024,14/06/2024,Sample,Pt2,
PUF_MBO_2,PUF_MBO_02,PUF.MBO.2,Bird Observatory,03/06/2024,17/06/2024,Sample,Pt2,
PUF_JD_2,PUF_JD_02,PUF.JD.2,Jean-Drapeau,05/06/2024,19/06/2024,Sample,Pt2,
PUF_BOU_2,PUF_BOU_02,PUF.BOU.2,Boucherville,10/06/2024,24/06/2024,Sample,Pt2,
PUF_IPEX_3,PUF_IPEX_03,PUF.IPEX.3,IPEX,12/06/2024,26/06/2024,Sample,Pt1,wasp next on the PUF disk
PUF_BOT_3,PUF_BOT_03,PUF.BOT.3,Botanical Garden,24/06/2024,28/06/2024,Sample,Pt1,not sterile when put in
PUF_MBO_3,PUF_MBO_03,PUF.MBO.3,Bird Observatory,17/06/2024,01/07/2024,Sample,Pt2,
PUF_JD_3,PUF_JD_03,PUF.JD.3,Jean-Drapeau,19/06/2024,03/07/2024,Sample,Pt2,
PUF_BOU_3,PUF_BOU_03,PUF.BOU.3,Boucherville,24/06/2024,08/07/2024,Sample,Pt2,
PUF_IPEX_4,PUF_IPEX_04,PUF.IPEX.4,IPEX,26/06/2024,10/07/2024,Sample,Pt2,
PUF_BOT_4,PUF_BOT_04,PUF.BOT.4,Botanical Garden,28/06/2024,12/07/2024,Sample,Pt2,
PUF_MBO_4,PUF_MBO_04,PUF.MBO.4,Bird Observatory,01/07/2024,15/07/2024,Sample,Pt1,
PUF_JD_4,PUF_JD_04,PUF.JD14,Jean-Drapeau,03/07/2024,17/07/2024,Sample,Pt1,
PUF_BOU_4,PUF_BOU_04,PUF.BOU.4,Boucherville,08/07/2024,22/07/2024,Sample,Pt2,
PUF_IPEX_5,PUF_IPEX_05,PUF.IPEX.5,IPEX,10/07/2024,24/07/2024,Sample,Pt2,
PUF_BOT_5,PUF_BOT_05,PUF.BOT.5,Botanical Garden,12/07/2024,26/07/2024,Sample,Pt2,
PUF_MBO_5,PUF_MBO_05,PUF.MBO.5,Bird Observatory,15/07/2024,29/07/2024,Sample,Pt2,
PUF_JD_5,PUF_JD_05,PUF.JD.5,Jean-Drapeau,17/07/2024,31/07/2024,Sample,Pt2,
PUF_BOU_5,PUF_BOU_05,PUF.BOU.5,Boucherville,22/07/2024,05/08/2024,Sample,Pt2,
