"Filter","PostFilter","ASVs","inds","C.pos.1_TRUE","C.pos.1_FALSE","C.pos.2_TRUE","C.pos.2_FALSE","MockASVs"
"DADA2_t0_l10","0.Raw",2421,100,3,15,4,17,0
"DADA2_t0_l10","1.NC",1929,100,3,15,4,16,0
"DADA2_t0_l10","sample.per.0.000",1929,100,3,15,4,16,0
"DADA2_t0_l10","sample.per.0.025",1847,100,3,15,4,16,0
"DADA2_t0_l10","sample.per.0.050",1643,100,3,15,4,15,0
"DADA2_t0_l10","sample.per.0.075",1459,100,3,14,4,12,0
"DADA2_t0_l10","sample.per.0.100",1316,100,3,13,4,11,0
"DADA2_t0_l10","sample.per.0.250",796,100,3,8,4,6,0
"DADA2_t0_l10","sample.per.0.500",489,100,2,5,4,3,0
"DADA2_t0_l10","sample.per.0.750",349,100,2,5,3,2,0
"DADA2_t0_l10","sample.per.1.000",273,100,2,3,3,2,0
"DADA2_t20_l10","0.Raw",232,75.5,0,2,0,2,0
"DADA2_t20_l10","1.NC",232,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.000",232,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.025",207,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.050",203,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.075",199,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.100",186,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.250",153,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.500",136,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.0.750",127,75.5,0,2,0,2,0
"DADA2_t20_l10","sample.per.1.000",120,75.5,0,2,0,2,0
"DADA2_t20_l50","0.Raw",78,69.4,0,1,0,1,0
"DADA2_t20_l50","1.NC",78,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.000",78,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.025",78,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.050",78,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.075",78,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.100",78,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.250",78,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.500",76,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.0.750",76,69.4,0,1,0,1,0
"DADA2_t20_l50","sample.per.1.000",76,69.4,0,1,0,1,0
"DADA2_t26_l10","0.Raw",85,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","1.NC",85,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.000",85,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.025",78,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.050",77,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.075",77,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.100",75,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.250",74,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.500",68,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.0.750",64,46.9,NA,NA,NA,NA,0
"DADA2_t26_l10","sample.per.1.000",62,46.9,NA,NA,NA,NA,0
"Deblur_t0_l10","0.Raw",10033,100,6,35,6,38,5
"Deblur_t0_l10","1.NC",7562,100,6,33,6,36,5
"Deblur_t0_l10","sample.per.0.000",7562,100,6,33,6,36,5
"Deblur_t0_l10","sample.per.0.025",2580,100,6,19,6,18,0
"Deblur_t0_l10","sample.per.0.050",2045,100,6,14,6,12,0
"Deblur_t0_l10","sample.per.0.075",1696,100,6,14,6,7,0
"Deblur_t0_l10","sample.per.0.100",1456,100,6,13,6,5,0
"Deblur_t0_l10","sample.per.0.250",824,100,4,5,5,1,0
"Deblur_t0_l10","sample.per.0.500",478,100,4,2,4,1,0
"Deblur_t0_l10","sample.per.0.750",335,100,2,2,4,1,0
"Deblur_t0_l10","sample.per.1.000",251,100,2,2,3,1,0
"Deblur_t20_l10","0.Raw",7926,100,6,31,6,36,1
"Deblur_t20_l10","1.NC",5950,100,6,29,6,34,1
"Deblur_t20_l10","sample.per.0.000",5950,100,6,29,6,34,1
"Deblur_t20_l10","sample.per.0.025",2547,100,6,20,6,19,0
"Deblur_t20_l10","sample.per.0.050",1973,100,6,16,6,9,0
"Deblur_t20_l10","sample.per.0.075",1670,100,6,14,6,6,0
"Deblur_t20_l10","sample.per.0.100",1417,100,6,13,6,4,0
"Deblur_t20_l10","sample.per.0.250",817,100,5,5,5,1,0
"Deblur_t20_l10","sample.per.0.500",481,100,4,2,4,1,0
"Deblur_t20_l10","sample.per.0.750",333,100,2,2,4,1,0
"Deblur_t20_l10","sample.per.1.000",249,100,2,2,3,1,0
"Deblur_t20_l50","0.Raw",7828,100,6,32,6,34,1
"Deblur_t20_l50","1.NC",5858,100,6,30,6,32,1
"Deblur_t20_l50","sample.per.0.000",5858,100,6,30,6,32,1
"Deblur_t20_l50","sample.per.0.025",2605,100,6,18,6,18,0
"Deblur_t20_l50","sample.per.0.050",1975,100,6,15,6,10,0
"Deblur_t20_l50","sample.per.0.075",1663,100,6,14,6,6,0
"Deblur_t20_l50","sample.per.0.100",1412,100,6,14,6,5,0
"Deblur_t20_l50","sample.per.0.250",808,100,5,5,5,1,0
"Deblur_t20_l50","sample.per.0.500",480,100,4,2,4,1,0
"Deblur_t20_l50","sample.per.0.750",333,100,2,2,4,1,0
"Deblur_t20_l50","sample.per.1.000",252,100,2,2,3,1,0
"Deblur_t26_l10","0.Raw",7272,100,6,28,6,34,1
"Deblur_t26_l10","1.NC",5373,100,6,26,6,32,1
"Deblur_t26_l10","sample.per.0.000",5373,100,6,26,6,32,1
"Deblur_t26_l10","sample.per.0.025",2938,100,6,20,6,16,0
"Deblur_t26_l10","sample.per.0.050",1962,100,6,14,6,9,0
"Deblur_t26_l10","sample.per.0.075",1609,100,6,14,6,6,0
"Deblur_t26_l10","sample.per.0.100",1406,100,6,12,6,4,0
"Deblur_t26_l10","sample.per.0.250",798,100,5,5,5,2,0
"Deblur_t26_l10","sample.per.0.500",475,100,4,4,4,1,0
"Deblur_t26_l10","sample.per.0.750",331,100,2,2,4,1,0
"Deblur_t26_l10","sample.per.1.000",260,100,2,2,3,1,0
