sample ID	forward sequence count	reverse sequence count
C-pos-1	44597	44597
C-pos-2	76826	76826
Ins-Cocoon	5224	5224
Ins-Door	1077	1077
Ins-Top	8931	8931
Mont-Tremblant	13720	13720
Negative-PUF	942	942
PUF-BOT-1	23275	23275
PUF-BOT-2	22404	22404
PUF-BOT-4	19055	19055
PUF-BOT-5	36172	36172
PUF-BOT-6	83978	83978
PUF-BOT-7	46726	46726
PUF-BOT-8	27543	27543
PUF-BOT-9	32224	32224
PUF-BOU-1	3963	3963
PUF-BOU-2	19032	19032
PUF-BOU-3	16066	16066
PUF-BOU-4	17614	17614
PUF-BOU-5	52585	52585
PUF-BOU-6	19126	19126
PUF-BOU-8	56284	56284
PUF-BOU-9	51585	51585
PUF-IPEX-10	76706	76706
PUF-IPEX-2	30116	30116
PUF-IPEX-4	66986	66986
PUF-IPEX-5	86936	86936
PUF-IPEX-6	45050	45050
PUF-IPEX-7	39465	39465
PUF-IPEX-9	54723	54723
PUF-JD-1	39324	39324
PUF-JD-2	64983	64983
PUF-JD-3	27482	27482
PUF-JD-5	44631	44631
PUF-JD-6	48955	48955
PUF-JD-7	74781	74781
PUF-JD-8	41707	41707
PUF-JD-9	18948	18948
PUF-MBO-1	39823	39823
PUF-MBO-10	48123	48123
PUF-MBO-2	68577	68577
PUF-MBO-3	55156	55156
PUF-MBO-5	69567	69567
PUF-MBO-6	46762	46762
PUF-MBO-7	61960	61960
PUF-MBO-8	70018	70018
PUF-MBO-9	79159	79159
ctrl-PCR-neg-PUF	300	300
CTRL-neg-extraction-PUF	3360	3360
PUF-BOT-10	37186	37186
PUF-BOT-3	2236	2236
PUF-BOU-7	15144	15144
PUF-IPEX-1	9651	9651
PUF-IPEX-3	69311	69311
PUF-IPEX-8	116901	116901
PUF-JD-10	142939	142939
PUF-JD14	47925	47925
PUF-MBO-4	75775	75775
ctrl-PCR-neg-PUF	4366	4366
